method,identity_threshold,macro_f1,weighted_f1,samples_num
esm2_3b,15,0.2148522600069172,0.4844746428478084,638
esm2_3b,25,0.30668014997372667,0.5684482127710454,803
esm2_3b,35,0.5559539211287297,0.7936932274806474,3130
esm2_3b,45,0.720259530282053,0.8839718291456056,6301
esm2_3b,55,0.8079824864216469,0.9257551928272099,9387
esm2_3b,65,0.8646140378093807,0.9492928059142338,12520
esm2_3b,75,0.8936438100026236,0.9622494503331225,15027
esm2_3b,85,0.9154057513691208,0.9711429694900247,17298
esm2_3b,90,0.9175985474955451,0.9652628168740848,9597
esm2_3b,100,0.8843843199413001,0.9479866294530929,6607
prot_bert,15,0.1572773471788706,0.402127474347197,638
prot_bert,25,0.2341347892332234,0.4820522628213456,803
prot_bert,35,0.5041584007595796,0.744363088181959,3130
prot_bert,45,0.694866629418101,0.8542713185093047,6301
prot_bert,55,0.7921764546083326,0.9095201909786844,9387
prot_bert,65,0.8570349899053203,0.9396157944638097,12520
prot_bert,75,0.8858098929594709,0.9551008469477251,15027
prot_bert,85,0.9140632676118641,0.9650358972745868,17298
prot_bert,90,0.9057328665971867,0.9584595013146066,9597
prot_bert,100,0.8701012483459691,0.9365675261463771,6607
esm1b,15,0.19729535354318428,0.46919112427280985,638
esm1b,25,0.28150325749513067,0.5512579214208669,803
esm1b,35,0.5541990908453408,0.7910706341268265,3130
esm1b,45,0.7102169557521324,0.8774983059237336,6301
esm1b,55,0.8031553937693615,0.9231721326705039,9387
esm1b,65,0.8543384671046127,0.946335159099611,12520
esm1b,75,0.8869928597984092,0.9601511355621517,15027
esm1b,85,0.9124226801715539,0.9695585802705129,17298
esm1b,90,0.9131863678909414,0.9639909648988467,9597
esm1b,100,0.8784422827420547,0.9450901262783955,6607
