accessions,EC
Q7XQ85,EC:4
Q7XQ85,EC:4.4
Q7XQ85,EC:4.4.1
Q7XQ85,EC:4.4.1.14
A0A0P0WIY3,EC:4
A0A0P0WIY3,EC:4.4
A0A0P0WIY3,EC:4.4.1
A0A0P0WIY3,EC:4.4.1.14
Q43309,EC:4
Q43309,EC:4.4
Q43309,EC:4.4.1
Q43309,EC:4.4.1.14
P29535,EC:4
P29535,EC:4.4
P29535,EC:4.4.1
P29535,EC:4.4.1.14
A0A0P0UZP7,EC:4
A0A0P0UZP7,EC:4.4
A0A0P0UZP7,EC:4.4.1
A0A0P0UZP7,EC:4.4.1.14
Q9SNN8,EC:4
Q9SNN8,EC:4.4
Q9SNN8,EC:4.4.1
Q9SNN8,EC:4.4.1.14
Q9T065,EC:4
Q9T065,EC:4.4
Q9T065,EC:4.4.1
Q9T065,EC:4.4.1.14
P27486,EC:4
P27486,EC:4.4
P27486,EC:4.4.1
P27486,EC:4.4.1.14
P31531,EC:4
P31531,EC:4.4
P31531,EC:4.4.1
P31531,EC:4.4.1.14
Q01912,EC:4
Q01912,EC:4.4
Q01912,EC:4.4.1
Q01912,EC:4.4.1.14
A7F996,EC:4
A7F996,EC:4.2
A7F996,EC:4.2.1
A7F996,EC:4.2.1.10
B6Q3C6,EC:4
B6Q3C6,EC:4.2
B6Q3C6,EC:4.2.1
B6Q3C6,EC:4.2.1.10
Q4PIL0,EC:4
Q4PIL0,EC:4.2
Q4PIL0,EC:4.2.1
Q4PIL0,EC:4.2.1.10
A1C408,EC:1
A1C408,EC:1.13
A1C408,EC:1.13.11
A1C408,EC:1.13.11.6
B0XVP0,EC:1
B0XVP0,EC:1.13
B0XVP0,EC:1.13.11
B0XVP0,EC:1.13.11.6
Q75CP6,EC:1
Q75CP6,EC:1.13
Q75CP6,EC:1.13.11
Q75CP6,EC:1.13.11.6
Q0D1U6,EC:1
Q0D1U6,EC:1.13
Q0D1U6,EC:1.13.11
Q0D1U6,EC:1.13.11.6
Q87VV5,EC:3
Q87VV5,EC:3.2
Q87VV5,EC:3.2.2
Q87VV5,EC:0
Q2K4W8,EC:3
Q2K4W8,EC:3.2
Q2K4W8,EC:3.2.2
Q2K4W8,EC:0
Q98DR6,EC:3
Q98DR6,EC:3.2
Q98DR6,EC:3.2.2
Q98DR6,EC:0
Q7UG12,EC:3
Q7UG12,EC:3.2
Q7UG12,EC:3.2.2
Q7UG12,EC:0
Q2IW19,EC:3
Q2IW19,EC:3.2
Q2IW19,EC:3.2.2
Q2IW19,EC:0
Q214R5,EC:3
Q214R5,EC:3.2
Q214R5,EC:3.2.2
Q214R5,EC:0
A8GX84,EC:3
A8GX84,EC:3.2
A8GX84,EC:3.2.2
A8GX84,EC:0
Q59104,EC:1
Q59104,EC:1.1
Q59104,EC:1.1.1
Q59104,EC:1.1.1.61
P56653,EC:3
P56653,EC:3.1
P56653,EC:3.1.2
P56653,EC:3.1.2.23
B9J8G8,EC:5
B9J8G8,EC:5.1
B9J8G8,EC:5.1.1
B9J8G8,EC:5.1.1.8
B9JHU6,EC:5
B9JHU6,EC:5.1
B9JHU6,EC:5.1.1
B9JHU6,EC:5.1.1.8
B0VB44,EC:5
B0VB44,EC:5.1
B0VB44,EC:5.1.1
B0VB44,EC:5.1.1.8
B9JQV3,EC:5
B9JQV3,EC:5.1
B9JQV3,EC:5.1.1
B9JQV3,EC:5.1.1.8
Q6D2R1,EC:3
Q6D2R1,EC:3.1
