filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro
deep_ec_results.tsv	ec_numbers	0.010	75565.000	3.569	4.470	0.355	0.612	0.910	1.000	4.470	0.355	0.732	4.485	0.444	0.909	0.597
deep_ec_results.tsv	ec_numbers	0.020	75565.000	3.569	4.470	0.355	0.612	0.910	1.000	4.470	0.355	0.732	4.485	0.444	0.909	0.597
deep_ec_results.tsv	ec_numbers	0.030	75563.000	3.538	3.672	0.386	0.641	0.902	1.000	3.672	0.386	0.750	3.693	0.491	0.902	0.635
deep_ec_results.tsv	ec_numbers	0.040	75560.000	3.512	3.183	0.412	0.662	0.896	1.000	3.183	0.412	0.761	3.210	0.525	0.895	0.661
deep_ec_results.tsv	ec_numbers	0.050	75557.000	3.492	2.839	0.432	0.677	0.890	1.000	2.839	0.432	0.769	2.872	0.552	0.890	0.681
deep_ec_results.tsv	ec_numbers	0.060	75552.000	3.475	2.582	0.449	0.690	0.886	1.000	2.582	0.449	0.776	2.621	0.574	0.885	0.696
deep_ec_results.tsv	ec_numbers	0.070	75549.000	3.460	2.376	0.464	0.701	0.882	1.000	2.376	0.464	0.781	2.421	0.593	0.882	0.709
deep_ec_results.tsv	ec_numbers	0.080	75548.000	3.446	2.212	0.478	0.710	0.878	1.000	2.212	0.478	0.785	2.263	0.609	0.878	0.719
deep_ec_results.tsv	ec_numbers	0.090	75545.000	3.434	2.074	0.489	0.717	0.875	1.000	2.074	0.489	0.789	2.131	0.624	0.875	0.728
deep_ec_results.tsv	ec_numbers	0.100	75539.000	3.423	1.955	0.501	0.724	0.872	1.000	1.955	0.501	0.792	2.018	0.636	0.872	0.736
deep_ec_results.tsv	ec_numbers	0.110	75534.000	3.414	1.852	0.510	0.731	0.870	1.000	1.852	0.510	0.794	1.921	0.648	0.870	0.743
deep_ec_results.tsv	ec_numbers	0.120	75527.000	3.405	1.761	0.519	0.736	0.868	0.999	1.761	0.519	0.797	1.836	0.659	0.868	0.749
deep_ec_results.tsv	ec_numbers	0.130	75517.000	3.396	1.679	0.528	0.742	0.865	0.999	1.679	0.528	0.799	1.760	0.669	0.865	0.755
deep_ec_results.tsv	ec_numbers	0.140	75505.000	3.387	1.606	0.537	0.747	0.863	0.999	1.606	0.537	0.801	1.694	0.678	0.863	0.760
deep_ec_results.tsv	ec_numbers	0.150	75495.000	3.378	1.540	0.546	0.751	0.861	0.999	1.540	0.546	0.802	1.634	0.687	0.861	0.764
deep_ec_results.tsv	ec_numbers	0.160	75483.000	3.371	1.478	0.553	0.755	0.859	0.999	1.478	0.553	0.804	1.578	0.695	0.859	0.768
deep_ec_results.tsv	ec_numbers	0.170	75465.000	3.363	1.423	0.561	0.759	0.857	0.999	1.423	0.561	0.805	1.530	0.703	0.857	0.772
deep_ec_results.tsv	ec_numbers	0.180	75450.000	3.355	1.372	0.569	0.763	0.855	0.998	1.372	0.569	0.806	1.485	0.710	0.855	0.776
deep_ec_results.tsv	ec_numbers	0.190	75433.000	3.348	1.325	0.575	0.767	0.853	0.998	1.325	0.575	0.808	1.445	0.716	0.853	0.779
deep_ec_results.tsv	ec_numbers	0.200	75414.000	3.342	1.283	0.582	0.770	0.851	0.998	1.283	0.582	0.809	1.409	0.723	0.852	0.782
deep_ec_results.tsv	ec_numbers	0.210	75390.000	3.336	1.243	0.588	0.773	0.850	0.998	1.243	0.588	0.810	1.375	0.729	0.850	0.785
deep_ec_results.tsv	ec_numbers	0.220	75361.000	3.329	1.205	0.595	0.776	0.848	0.997	1.205	0.595	0.810	1.344	0.734	0.848	0.787
deep_ec_results.tsv	ec_numbers	0.230	75342.000	3.322	1.169	0.601	0.779	0.846	0.997	1.169	0.601	0.811	1.315	0.740	0.847	0.790
deep_ec_results.tsv	ec_numbers	0.240	75324.000	3.316	1.138	0.608	0.781	0.845	0.997	1.138	0.608	0.812	1.290	0.745	0.845	0.792
deep_ec_results.tsv	ec_numbers	0.250	75288.000	3.310	1.106	0.614	0.784	0.843	0.996	1.106	0.614	0.813	1.265	0.750	0.844	0.794
deep_ec_results.tsv	ec_numbers	0.260	75262.000	3.305	1.076	0.619	0.787	0.842	0.996	1.076	0.619	0.813	1.241	0.754	0.842	0.796
deep_ec_results.tsv	ec_numbers	0.270	75237.000	3.300	1.048	0.624	0.789	0.840	0.996	1.048	0.624	0.814	1.220	0.759	0.841	0.798
deep_ec_results.tsv	ec_numbers	0.280	75193.000	3.294	1.021	0.630	0.792	0.839	0.995	1.021	0.630	0.815	1.199	0.763	0.839	0.800
deep_ec_results.tsv	ec_numbers	0.290	75150.000	3.289	0.996	0.635	0.794	0.838	0.994	0.996	0.635	0.815	1.181	0.768	0.838	0.801
deep_ec_results.tsv	ec_numbers	0.300	75114.000	3.283	0.971	0.641	0.797	0.836	0.994	0.971	0.641	0.816	1.163	0.772	0.837	0.803
deep_ec_results.tsv	ec_numbers	0.310	75058.000	3.277	0.947	0.647	0.799	0.834	0.993	0.947	0.647	0.816	1.147	0.776	0.835	0.804
deep_ec_results.tsv	ec_numbers	0.320	75002.000	3.272	0.923	0.652	0.802	0.833	0.993	0.923	0.652	0.817	1.130	0.780	0.834	0.806
deep_ec_results.tsv	ec_numbers	0.330	74958.000	3.268	0.900	0.656	0.804	0.832	0.992	0.900	0.656	0.818	1.114	0.784	0.833	0.808
deep_ec_results.tsv	ec_numbers	0.340	74913.000	3.262	0.878	0.662	0.806	0.831	0.991	0.878	0.662	0.818	1.100	0.788	0.831	0.809
deep_ec_results.tsv	ec_numbers	0.350	74869.000	3.257	0.858	0.667	0.808	0.829	0.991	0.858	0.667	0.819	1.087	0.791	0.830	0.810
deep_ec_results.tsv	ec_numbers	0.360	74809.000	3.251	0.839	0.673	0.810	0.828	0.990	0.839	0.673	0.819	1.075	0.795	0.829	0.811
deep_ec_results.tsv	ec_numbers	0.370	74746.000	3.247	0.820	0.677	0.812	0.827	0.989	0.820	0.677	0.819	1.064	0.798	0.827	0.813
deep_ec_results.tsv	ec_numbers	0.380	74693.000	3.242	0.803	0.682	0.814	0.825	0.988	0.803	0.682	0.820	1.054	0.801	0.826	0.814
deep_ec_results.tsv	ec_numbers	0.390	74634.000	3.237	0.785	0.687	0.816	0.824	0.988	0.785	0.687	0.820	1.043	0.805	0.825	0.815
deep_ec_results.tsv	ec_numbers	0.400	74565.000	3.232	0.768	0.692	0.818	0.823	0.987	0.768	0.692	0.821	1.033	0.808	0.824	0.816
deep_ec_results.tsv	ec_numbers	0.410	74483.000	3.227	0.750	0.697	0.820	0.822	0.986	0.750	0.697	0.821	1.024	0.811	0.822	0.817
deep_ec_results.tsv	ec_numbers	0.420	74400.000	3.222	0.735	0.702	0.823	0.820	0.985	0.735	0.702	0.821	1.016	0.814	0.821	0.818
deep_ec_results.tsv	ec_numbers	0.430	74326.000	3.217	0.718	0.707	0.825	0.819	0.984	0.718	0.707	0.822	1.008	0.817	0.820	0.819
deep_ec_results.tsv	ec_numbers	0.440	74250.000	3.212	0.702	0.712	0.826	0.818	0.983	0.702	0.712	0.822	1.000	0.821	0.819	0.820
deep_ec_results.tsv	ec_numbers	0.450	74171.000	3.207	0.688	0.717	0.828	0.816	0.982	0.688	0.717	0.822	0.994	0.823	0.817	0.820
deep_ec_results.tsv	ec_numbers	0.460	74092.000	3.203	0.673	0.721	0.830	0.815	0.980	0.673	0.721	0.823	0.987	0.826	0.816	0.821
deep_ec_results.tsv	ec_numbers	0.470	73996.000	3.198	0.659	0.726	0.832	0.814	0.979	0.659	0.726	0.823	0.981	0.829	0.815	0.822
deep_ec_results.tsv	ec_numbers	0.480	73910.000	3.193	0.644	0.731	0.834	0.813	0.978	0.644	0.731	0.823	0.974	0.832	0.814	0.823
deep_ec_results.tsv	ec_numbers	0.490	73803.000	3.188	0.631	0.736	0.836	0.811	0.977	0.631	0.736	0.823	0.969	0.835	0.812	0.823
deep_ec_results.tsv	ec_numbers	0.500	73700.000	3.183	0.618	0.741	0.837	0.810	0.975	0.618	0.741	0.824	0.965	0.837	0.811	0.824
deep_ec_results.tsv	ec_numbers	0.510	73614.000	3.178	0.605	0.746	0.839	0.809	0.974	0.605	0.746	0.824	0.961	0.840	0.810	0.825
deep_ec_results.tsv	ec_numbers	0.520	73517.000	3.174	0.592	0.750	0.841	0.808	0.973	0.592	0.750	0.824	0.956	0.843	0.809	0.825
deep_ec_results.tsv	ec_numbers	0.530	73431.000	3.168	0.579	0.756	0.843	0.806	0.972	0.579	0.756	0.824	0.952	0.845	0.807	0.826
deep_ec_results.tsv	ec_numbers	0.540	73314.000	3.164	0.567	0.760	0.845	0.805	0.970	0.567	0.760	0.825	0.948	0.848	0.806	0.827
deep_ec_results.tsv	ec_numbers	0.550	73214.000	3.159	0.556	0.765	0.847	0.804	0.969	0.556	0.765	0.825	0.946	0.850	0.805	0.827
