group	label	ns	tau	cov	rc	pr	f
D-SPACE EC	D-SPACE EC	ec_numbers	0.010	1.000	0.869	0.775	0.819
D-SPACE EC	D-SPACE EC	ec_numbers	0.020	1.000	0.869	0.775	0.819
D-SPACE EC	D-SPACE EC	ec_numbers	0.030	1.000	0.863	0.787	0.824
D-SPACE EC	D-SPACE EC	ec_numbers	0.040	1.000	0.859	0.796	0.826
D-SPACE EC	D-SPACE EC	ec_numbers	0.050	1.000	0.856	0.802	0.828
D-SPACE EC	D-SPACE EC	ec_numbers	0.060	1.000	0.853	0.806	0.829
D-SPACE EC	D-SPACE EC	ec_numbers	0.070	1.000	0.851	0.810	0.830
D-SPACE EC	D-SPACE EC	ec_numbers	0.080	0.999	0.849	0.814	0.831
D-SPACE EC	D-SPACE EC	ec_numbers	0.090	0.999	0.847	0.817	0.832
D-SPACE EC	D-SPACE EC	ec_numbers	0.100	0.999	0.845	0.820	0.832
D-SPACE EC	D-SPACE EC	ec_numbers	0.110	0.999	0.844	0.822	0.833
D-SPACE EC	D-SPACE EC	ec_numbers	0.120	0.999	0.842	0.824	0.833
D-SPACE EC	D-SPACE EC	ec_numbers	0.130	0.999	0.841	0.826	0.833
D-SPACE EC	D-SPACE EC	ec_numbers	0.140	0.998	0.839	0.828	0.833
D-SPACE EC	D-SPACE EC	ec_numbers	0.150	0.998	0.838	0.829	0.834
D-SPACE EC	D-SPACE EC	ec_numbers	0.160	0.998	0.837	0.831	0.834
D-SPACE EC	D-SPACE EC	ec_numbers	0.170	0.998	0.836	0.832	0.834
D-SPACE EC	D-SPACE EC	ec_numbers	0.180	0.997	0.835	0.834	0.834
D-SPACE EC	D-SPACE EC	ec_numbers	0.190	0.997	0.834	0.835	0.834
D-SPACE EC	D-SPACE EC	ec_numbers	0.200	0.997	0.833	0.836	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.210	0.997	0.832	0.838	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.220	0.996	0.831	0.839	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.230	0.996	0.830	0.840	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.240	0.996	0.829	0.841	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.250	0.996	0.828	0.842	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.260	0.995	0.828	0.843	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.270	0.995	0.827	0.845	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.280	0.994	0.826	0.846	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.290	0.994	0.825	0.847	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.300	0.994	0.824	0.847	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.310	0.993	0.823	0.848	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.320	0.993	0.823	0.849	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.330	0.992	0.822	0.850	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.340	0.992	0.821	0.851	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.350	0.992	0.821	0.852	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.360	0.991	0.820	0.853	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.370	0.991	0.819	0.854	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.380	0.990	0.819	0.854	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.390	0.990	0.818	0.855	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.400	0.989	0.817	0.856	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.410	0.989	0.817	0.857	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.420	0.988	0.816	0.858	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.430	0.988	0.815	0.859	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.440	0.987	0.814	0.859	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.450	0.987	0.814	0.860	0.836
