group	label	ns	tau	cov	ru	mi	s
D-SPACE EC	D-SPACE EC	ec_numbers	0.010	1.000	0.516	1.519	1.604
D-SPACE EC	D-SPACE EC	ec_numbers	0.020	1.000	0.516	1.519	1.604
D-SPACE EC	D-SPACE EC	ec_numbers	0.030	1.000	0.537	1.320	1.425
D-SPACE EC	D-SPACE EC	ec_numbers	0.040	1.000	0.552	1.192	1.314
D-SPACE EC	D-SPACE EC	ec_numbers	0.050	1.000	0.565	1.100	1.237
D-SPACE EC	D-SPACE EC	ec_numbers	0.060	1.000	0.575	1.032	1.181
D-SPACE EC	D-SPACE EC	ec_numbers	0.070	1.000	0.584	0.976	1.137
D-SPACE EC	D-SPACE EC	ec_numbers	0.080	0.999	0.592	0.929	1.102
D-SPACE EC	D-SPACE EC	ec_numbers	0.090	0.999	0.599	0.888	1.071
D-SPACE EC	D-SPACE EC	ec_numbers	0.100	0.999	0.605	0.855	1.047
D-SPACE EC	D-SPACE EC	ec_numbers	0.110	0.999	0.611	0.823	1.026
D-SPACE EC	D-SPACE EC	ec_numbers	0.120	0.999	0.617	0.796	1.007
D-SPACE EC	D-SPACE EC	ec_numbers	0.130	0.999	0.623	0.772	0.992
D-SPACE EC	D-SPACE EC	ec_numbers	0.140	0.998	0.628	0.752	0.980
D-SPACE EC	D-SPACE EC	ec_numbers	0.150	0.998	0.633	0.733	0.968
D-SPACE EC	D-SPACE EC	ec_numbers	0.160	0.998	0.638	0.714	0.957
D-SPACE EC	D-SPACE EC	ec_numbers	0.170	0.998	0.642	0.697	0.948
D-SPACE EC	D-SPACE EC	ec_numbers	0.180	0.997	0.646	0.681	0.939
D-SPACE EC	D-SPACE EC	ec_numbers	0.190	0.997	0.650	0.666	0.931
D-SPACE EC	D-SPACE EC	ec_numbers	0.200	0.997	0.654	0.651	0.923
D-SPACE EC	D-SPACE EC	ec_numbers	0.210	0.997	0.657	0.638	0.916
D-SPACE EC	D-SPACE EC	ec_numbers	0.220	0.996	0.661	0.626	0.910
D-SPACE EC	D-SPACE EC	ec_numbers	0.230	0.996	0.664	0.614	0.905
D-SPACE EC	D-SPACE EC	ec_numbers	0.240	0.996	0.667	0.603	0.899
D-SPACE EC	D-SPACE EC	ec_numbers	0.250	0.996	0.670	0.591	0.894
D-SPACE EC	D-SPACE EC	ec_numbers	0.260	0.995	0.674	0.581	0.889
D-SPACE EC	D-SPACE EC	ec_numbers	0.270	0.995	0.676	0.571	0.885
D-SPACE EC	D-SPACE EC	ec_numbers	0.280	0.994	0.680	0.561	0.881
D-SPACE EC	D-SPACE EC	ec_numbers	0.290	0.994	0.683	0.552	0.878
D-SPACE EC	D-SPACE EC	ec_numbers	0.300	0.994	0.686	0.545	0.876
D-SPACE EC	D-SPACE EC	ec_numbers	0.310	0.993	0.689	0.536	0.873
D-SPACE EC	D-SPACE EC	ec_numbers	0.320	0.993	0.692	0.528	0.870
D-SPACE EC	D-SPACE EC	ec_numbers	0.330	0.992	0.695	0.519	0.867
D-SPACE EC	D-SPACE EC	ec_numbers	0.340	0.992	0.698	0.512	0.866
D-SPACE EC	D-SPACE EC	ec_numbers	0.350	0.992	0.700	0.506	0.863
D-SPACE EC	D-SPACE EC	ec_numbers	0.360	0.991	0.703	0.498	0.861
D-SPACE EC	D-SPACE EC	ec_numbers	0.370	0.991	0.705	0.492	0.860
