,Model,Level,EC,F1 score
0,BLASTp,1,1.1.1.1,0.8571428571428571
1,BLASTp,1,1.1.1.100,0.7916666666666666
2,BLASTp,1,1.1.1.102,0.962962962962963
3,BLASTp,1,1.1.1.103,0.9538461538461539
4,BLASTp,1,1.1.1.105,0.8750000000000001
5,BLASTp,1,1.1.1.107,0.4444444444444445
6,BLASTp,1,1.1.1.108,0.9655172413793104
7,BLASTp,1,1.1.1.122,0.3846153846153846
8,BLASTp,1,1.1.1.127,0.8461538461538461
9,BLASTp,1,1.1.1.130,1.0
10,BLASTp,1,1.1.1.132,0.7999999999999999
11,BLASTp,1,1.1.1.133,0.9538461538461539
12,BLASTp,1,1.1.1.136,0.7647058823529413
13,BLASTp,1,1.1.1.14,0.32
14,BLASTp,1,1.1.1.140,0.7857142857142857
15,BLASTp,1,1.1.1.153,0.9655172413793104
16,BLASTp,1,1.1.1.157,0.9333333333333333
17,BLASTp,1,1.1.1.159,0.5
18,BLASTp,1,1.1.1.163,0.4444444444444445
19,BLASTp,1,1.1.1.169,0.963855421686747
20,BLASTp,1,1.1.1.17,0.9894736842105264
21,BLASTp,1,1.1.1.179,0.7407407407407408
22,BLASTp,1,1.1.1.18,0.9090909090909091
23,BLASTp,1,1.1.1.184,0.75
24,BLASTp,1,1.1.1.192,0.8148148148148148
25,BLASTp,1,1.1.1.193,0.9333333333333333
26,BLASTp,1,1.1.1.195,0.7272727272727273
27,BLASTp,1,1.1.1.2,0.7200000000000001
28,BLASTp,1,1.1.1.202,0.7407407407407408
29,BLASTp,1,1.1.1.203,0.8666666666666666
30,BLASTp,1,1.1.1.205,0.9807692307692307
31,BLASTp,1,1.1.1.21,0.8148148148148148
32,BLASTp,1,1.1.1.215,0.7200000000000001
33,BLASTp,1,1.1.1.218,0.8
34,BLASTp,1,1.1.1.219,0.8461538461538461
35,BLASTp,1,1.1.1.22,0.9591836734693878
36,BLASTp,1,1.1.1.23,0.9938650306748467
37,BLASTp,1,1.1.1.244,0.6206896551724138
38,BLASTp,1,1.1.1.25,0.98989898989899
39,BLASTp,1,1.1.1.251,0.8333333333333333
40,BLASTp,1,1.1.1.26,0.7272727272727273
41,BLASTp,1,1.1.1.261,1.0
42,BLASTp,1,1.1.1.262,0.9306930693069307
43,BLASTp,1,1.1.1.264,0.923076923076923
44,BLASTp,1,1.1.1.267,1.0
45,BLASTp,1,1.1.1.268,0.3333333333333333
46,BLASTp,1,1.1.1.269,0.4799999999999999
47,BLASTp,1,1.1.1.27,0.9668874172185431
48,BLASTp,1,1.1.1.270,0.896551724137931
49,BLASTp,1,1.1.1.271,0.9473684210526315
50,BLASTp,1,1.1.1.272,0.7200000000000001
51,BLASTp,1,1.1.1.274,0.3703703703703704
52,BLASTp,1,1.1.1.276,0.3333333333333333
53,BLASTp,1,1.1.1.28,0.8125000000000001
54,BLASTp,1,1.1.1.281,0.5714285714285714
55,BLASTp,1,1.1.1.284,0.9473684210526316
56,BLASTp,1,1.1.1.29,0.5714285714285714
57,BLASTp,1,1.1.1.290,0.9873417721518987
58,BLASTp,1,1.1.1.291,0.56
59,BLASTp,1,1.1.1.292,0.43478260869565216
60,BLASTp,1,1.1.1.298,0.8461538461538461
61,BLASTp,1,1.1.1.3,1.0
62,BLASTp,1,1.1.1.30,0.888888888888889
63,BLASTp,1,1.1.1.300,0.8387096774193549
64,BLASTp,1,1.1.1.301,0.4444444444444445
65,BLASTp,1,1.1.1.302,0.9285714285714286
66,BLASTp,1,1.1.1.304,0.7692307692307692
67,BLASTp,1,1.1.1.306,0.888888888888889
68,BLASTp,1,1.1.1.307,0.9032258064516129
69,BLASTp,1,1.1.1.308,0.9032258064516129
70,BLASTp,1,1.1.1.31,0.7142857142857143
71,BLASTp,1,1.1.1.310,0.75
72,BLASTp,1,1.1.1.311,0.5185185185185186
73,BLASTp,1,1.1.1.312,0.8461538461538461
74,BLASTp,1,1.1.1.313,0.64
75,BLASTp,1,1.1.1.317,0.8125
76,BLASTp,1,1.1.1.320,1.0
77,BLASTp,1,1.1.1.328,0.8571428571428571
78,BLASTp,1,1.1.1.330,0.9361702127659574
79,BLASTp,1,1.1.1.333,0.962962962962963
80,BLASTp,1,1.1.1.336,0.888888888888889
81,BLASTp,1,1.1.1.338,0.9655172413793104
82,BLASTp,1,1.1.1.34,0.9859154929577464
83,BLASTp,1,1.1.1.340,0.7999999999999999
84,BLASTp,1,1.1.1.343,0.8387096774193549
85,BLASTp,1,1.1.1.346,0.41666666666666663
86,BLASTp,1,1.1.1.35,0.9705882352941176
87,BLASTp,1,1.1.1.36,0.9285714285714286
88,BLASTp,1,1.1.1.361,0.88
89,BLASTp,1,1.1.1.368,1.0
90,BLASTp,1,1.1.1.37,0.9659863945578231
91,BLASTp,1,1.1.1.370,0.6666666666666666
92,BLASTp,1,1.1.1.371,0.6666666666666666
93,BLASTp,1,1.1.1.38,0.9615384615384615
94,BLASTp,1,1.1.1.385,0.43750000000000006
95,BLASTp,1,1.1.1.388,0.9285714285714286
96,BLASTp,1,1.1.1.4,0.64
97,BLASTp,1,1.1.1.40,0.8888888888888888
98,BLASTp,1,1.1.1.405,0.962962962962963
99,BLASTp,1,1.1.1.408,0.7096774193548386
100,BLASTp,1,1.1.1.41,0.9655172413793104
101,BLASTp,1,1.1.1.42,0.98989898989899
102,BLASTp,1,1.1.1.44,0.9382716049382716
103,BLASTp,1,1.1.1.47,0.5454545454545454
104,BLASTp,1,1.1.1.48,0.8333333333333333
105,BLASTp,1,1.1.1.49,0.9714285714285713
106,BLASTp,1,1.1.1.50,0.782608695652174
107,BLASTp,1,1.1.1.51,0.5714285714285714
108,BLASTp,1,1.1.1.53,0.7346938775510204
109,BLASTp,1,1.1.1.56,0.6956521739130435
110,BLASTp,1,1.1.1.57,0.7857142857142857
111,BLASTp,1,1.1.1.58,1.0
112,BLASTp,1,1.1.1.6,0.9230769230769231
113,BLASTp,1,1.1.1.60,0.6666666666666667
114,BLASTp,1,1.1.1.62,0.7761194029850746
115,BLASTp,1,1.1.1.65,0.6666666666666666
116,BLASTp,1,1.1.1.67,0.8571428571428571
117,BLASTp,1,1.1.1.69,0.7741935483870968
118,BLASTp,1,1.1.1.77,0.8275862068965518
119,BLASTp,1,1.1.1.79,0.7894736842105262
120,BLASTp,1,1.1.1.8,1.0
121,BLASTp,1,1.1.1.81,0.8205128205128205
122,BLASTp,1,1.1.1.82,0.8148148148148148
123,BLASTp,1,1.1.1.83,0.8125
124,BLASTp,1,1.1.1.85,0.9903846153846153
125,BLASTp,1,1.1.1.86,0.9722222222222222
126,BLASTp,1,1.1.1.87,0.9333333333333333
127,BLASTp,1,1.1.1.88,0.962962962962963
128,BLASTp,1,1.1.1.9,0.7142857142857143
129,BLASTp,1,1.1.1.90,0.9655172413793104
130,BLASTp,1,1.1.1.91,0.8571428571428571
131,BLASTp,1,1.1.1.93,0.7142857142857142
132,BLASTp,1,1.1.1.94,1.0
133,BLASTp,1,1.1.1.95,0.7428571428571429
134,BLASTp,1,1.1.2.3,0.7777777777777777
135,BLASTp,1,1.1.2.4,0.7692307692307692
136,BLASTp,1,1.1.2.7,0.9743589743589743
137,BLASTp,1,1.1.2.8,0.761904761904762
138,BLASTp,1,1.1.3.10,1.0
139,BLASTp,1,1.1.3.15,0.7356321839080459
140,BLASTp,1,1.1.3.20,0.9629629629629629
141,BLASTp,1,1.1.3.21,0.8888888888888888
142,BLASTp,1,1.1.3.37,0.967741935483871
143,BLASTp,1,1.1.3.41,0.9333333333333333
144,BLASTp,1,1.1.3.46,0.8
145,BLASTp,1,1.1.3.6,0.967741935483871
146,BLASTp,1,1.1.3.8,0.9523809523809523
147,BLASTp,1,1.1.3.9,0.8823529411764706
148,BLASTp,1,1.1.5.12,1.0
149,BLASTp,1,1.1.5.2,0.8148148148148148
150,BLASTp,1,1.1.5.3,0.9423076923076923
151,BLASTp,1,1.1.5.4,1.0
152,BLASTp,1,1.1.5.8,0.923076923076923
153,BLASTp,1,1.1.9.1,0.782608695652174
154,BLASTp,1,1.1.98.2,0.9047619047619048
155,BLASTp,1,1.1.98.3,0.9285714285714286
156,BLASTp,1,1.1.99.1,0.8823529411764706
157,BLASTp,1,1.1.99.14,0.9278350515463918
158,BLASTp,1,1.1.99.24,1.0
159,BLASTp,1,1.1.99.28,0.48
160,BLASTp,1,1.1.99.29,0.8750000000000001
161,BLASTp,1,1.1.99.3,0.8125
162,BLASTp,1,1.1.99.31,0.7999999999999999
163,BLASTp,1,1.1.99.36,0.923076923076923
164,BLASTp,1,1.10.3.1,0.9333333333333333
165,BLASTp,1,1.10.3.11,0.9655172413793104
166,BLASTp,1,1.10.3.2,0.9310344827586207
167,BLASTp,1,1.10.3.3,0.9655172413793104
168,BLASTp,1,1.10.3.9,1.0
169,BLASTp,1,1.11.1.1,0.9655172413793104
170,BLASTp,1,1.11.1.10,0.6
171,BLASTp,1,1.11.1.11,0.962962962962963
172,BLASTp,1,1.11.1.18,0.56
173,BLASTp,1,1.11.1.19,0.9655172413793104
174,BLASTp,1,1.11.1.21,1.0
175,BLASTp,1,1.11.1.24,0.9285714285714285
176,BLASTp,1,1.11.1.25,1.0
177,BLASTp,1,1.11.1.26,0.9655172413793104
178,BLASTp,1,1.11.1.27,1.0
179,BLASTp,1,1.11.1.28,1.0
180,BLASTp,1,1.11.1.5,0.888888888888889
181,BLASTp,1,1.11.1.6,0.9873417721518987
182,BLASTp,1,1.11.1.7,0.8155339805825244
183,BLASTp,1,1.11.1.8,0.9285714285714286
184,BLASTp,1,1.11.1.9,0.8
185,BLASTp,1,1.11.2.1,0.9583333333333334
186,BLASTp,1,1.11.2.4,1.0
187,BLASTp,1,1.12.1.2,0.8387096774193549
188,BLASTp,1,1.12.1.3,0.8235294117647058
189,BLASTp,1,1.12.2.1,0.8387096774193549
190,BLASTp,1,1.12.5.1,0.9032258064516129
191,BLASTp,1,1.12.7.2,0.7200000000000001
192,BLASTp,1,1.12.98.1,0.9333333333333333
193,BLASTp,1,1.12.98.3,0.8571428571428571
194,BLASTp,1,1.12.98.4,0.8275862068965518
195,BLASTp,1,1.12.99.6,0.8461538461538461
196,BLASTp,1,1.13.11.1,0.6666666666666666
197,BLASTp,1,1.13.11.11,0.9906542056074767
198,BLASTp,1,1.13.11.15,0.9285714285714286
199,BLASTp,1,1.13.11.16,1.0
200,BLASTp,1,1.13.11.2,0.896551724137931
201,BLASTp,1,1.13.11.20,0.9655172413793104
202,BLASTp,1,1.13.11.24,1.0
203,BLASTp,1,1.13.11.27,0.9206349206349206
204,BLASTp,1,1.13.11.29,0.9655172413793104
205,BLASTp,1,1.13.11.3,1.0
206,BLASTp,1,1.13.11.37,0.8666666666666666
207,BLASTp,1,1.13.11.39,0.5833333333333334
208,BLASTp,1,1.13.11.4,1.0
209,BLASTp,1,1.13.11.45,0.9333333333333333
210,BLASTp,1,1.13.11.49,0.896551724137931
211,BLASTp,1,1.13.11.5,0.9896907216494846
212,BLASTp,1,1.13.11.52,0.9655172413793104
213,BLASTp,1,1.13.11.53,1.0
214,BLASTp,1,1.13.11.54,1.0
215,BLASTp,1,1.13.11.57,0.888888888888889
216,BLASTp,1,1.13.11.6,1.0
217,BLASTp,1,1.13.11.60,0.962962962962963
218,BLASTp,1,1.13.11.63,0.923076923076923
219,BLASTp,1,1.13.11.79,0.975609756097561
220,BLASTp,1,1.13.11.8,0.9032258064516129
221,BLASTp,1,1.13.11.9,1.0
222,BLASTp,1,1.13.12.16,0.8846153846153846
223,BLASTp,1,1.13.12.19,0.6875000000000001
224,BLASTp,1,1.13.12.3,0.92
225,BLASTp,1,1.13.12.4,0.8780487804878048
226,BLASTp,1,1.13.12.7,0.7906976744186047
227,BLASTp,1,1.13.99.1,1.0
228,BLASTp,1,1.14.11.1,0.9655172413793104
229,BLASTp,1,1.14.11.16,0.962962962962963
230,BLASTp,1,1.14.11.17,0.875
231,BLASTp,1,1.14.11.2,1.0
232,BLASTp,1,1.14.11.20,0.9032258064516129
233,BLASTp,1,1.14.11.27,0.955223880597015
234,BLASTp,1,1.14.11.33,0.962962962962963
235,BLASTp,1,1.14.11.4,0.9285714285714286
236,BLASTp,1,1.14.11.47,1.0
237,BLASTp,1,1.14.11.53,1.0
238,BLASTp,1,1.14.11.55,1.0
239,BLASTp,1,1.14.11.66,0.9836065573770492
240,BLASTp,1,1.14.11.67,0.9615384615384616
241,BLASTp,1,1.14.11.7,1.0
242,BLASTp,1,1.14.11.8,0.9655172413793104
243,BLASTp,1,1.14.11.9,0.5714285714285714
244,BLASTp,1,1.14.12.1,0.5517241379310344
245,BLASTp,1,1.14.12.10,0.6153846153846153
246,BLASTp,1,1.14.12.13,0.4666666666666667
247,BLASTp,1,1.14.12.17,0.9909909909909909
248,BLASTp,1,1.14.12.18,0.6875
249,BLASTp,1,1.14.12.19,0.717948717948718
250,BLASTp,1,1.14.12.7,0.6857142857142857
251,BLASTp,1,1.14.13.1,0.6111111111111113
252,BLASTp,1,1.14.13.107,0.6923076923076923
253,BLASTp,1,1.14.13.113,0.5
254,BLASTp,1,1.14.13.114,0.3888888888888889
255,BLASTp,1,1.14.13.127,0.7777777777777778
256,BLASTp,1,1.14.13.131,0.8571428571428571
257,BLASTp,1,1.14.13.149,0.9777777777777777
258,BLASTp,1,1.14.13.196,0.8888888888888888
259,BLASTp,1,1.14.13.2,0.8813559322033898
260,BLASTp,1,1.14.13.20,0.6206896551724138
