,Model,Level,EC,F1 score
0,BLASTp,1,1.1.1,0.9710827168796236
1,BLASTp,1,1.1.2,0.8333333333333334
2,BLASTp,1,1.1.3,0.9048625792811839
3,BLASTp,1,1.1.5,0.9415584415584416
4,BLASTp,1,1.1.9,0.782608695652174
5,BLASTp,1,1.1.98,0.8260869565217391
6,BLASTp,1,1.1.99,0.8558758314855875
7,BLASTp,1,1.10.3,0.980544747081712
8,BLASTp,1,1.11.1,0.9360269360269361
9,BLASTp,1,1.11.2,0.967741935483871
10,BLASTp,1,1.12.1,0.8985507246376813
11,BLASTp,1,1.12.2,0.8387096774193549
12,BLASTp,1,1.12.5,0.9032258064516129
13,BLASTp,1,1.12.7,0.7200000000000001
14,BLASTp,1,1.12.98,0.8867924528301887
15,BLASTp,1,1.12.99,0.8571428571428572
16,BLASTp,1,1.13.11,0.9729299363057324
17,BLASTp,1,1.13.12,0.864406779661017
18,BLASTp,1,1.13.99,1.0
19,BLASTp,1,1.14.11,0.9558160504959423
20,BLASTp,1,1.14.12,0.9255319148936171
21,BLASTp,1,1.14.13,0.9324894514767931
22,BLASTp,1,1.14.14,0.8774703557312253
23,BLASTp,1,1.14.15,0.9221052631578947
24,BLASTp,1,1.14.16,0.955223880597015
25,BLASTp,1,1.14.17,0.9843749999999999
26,BLASTp,1,1.14.18,0.9212121212121213
27,BLASTp,1,1.14.19,0.9558823529411765
28,BLASTp,1,1.14.20,0.7
29,BLASTp,1,1.14.99,0.9113924050632911
30,BLASTp,1,1.15.1,0.9677419354838709
31,BLASTp,1,1.16.1,0.9752066115702478
32,BLASTp,1,1.16.3,0.9724770642201834
33,BLASTp,1,1.17.1,0.8186046511627906
34,BLASTp,1,1.17.2,0.6875
35,BLASTp,1,1.17.4,0.9285714285714285
36,BLASTp,1,1.17.5,0.8095238095238095
37,BLASTp,1,1.17.7,1.0
38,BLASTp,1,1.17.99,1.0
39,BLASTp,1,1.18.1,0.9411764705882354
40,BLASTp,1,1.18.6,0.975609756097561
41,BLASTp,1,1.2.1,0.9776119402985074
42,BLASTp,1,1.2.3,0.8571428571428571
43,BLASTp,1,1.2.4,0.9696969696969697
44,BLASTp,1,1.2.5,0.6950354609929078
45,BLASTp,1,1.2.7,0.9147727272727273
46,BLASTp,1,1.2.98,0.8260869565217392
47,BLASTp,1,1.2.99,0.7407407407407408
48,BLASTp,1,1.20.4,0.9411764705882353
49,BLASTp,1,1.20.9,0.9032258064516129
50,BLASTp,1,1.21.1,1.0
51,BLASTp,1,1.21.4,1.0
52,BLASTp,1,1.21.98,0.991869918699187
53,BLASTp,1,1.3.1,0.9150326797385621
54,BLASTp,1,1.3.3,0.9693251533742331
55,BLASTp,1,1.3.5,0.9518987341772153
56,BLASTp,1,1.3.7,0.9847715736040609
57,BLASTp,1,1.3.8,0.8277945619335347
58,BLASTp,1,1.3.98,0.9115646258503401
59,BLASTp,1,1.3.99,0.8109339407744875
60,BLASTp,1,1.4.1,0.956989247311828
61,BLASTp,1,1.4.3,0.9467455621301775
62,BLASTp,1,1.4.4,1.0
63,BLASTp,1,1.4.7,0.7906976744186046
64,BLASTp,1,1.4.9,0.983050847457627
65,BLASTp,1,1.4.99,0.9016393442622951
66,BLASTp,1,1.5.1,0.9613733905579399
67,BLASTp,1,1.5.3,0.7647058823529412
68,BLASTp,1,1.5.5,1.0
69,BLASTp,1,1.5.8,0.7603305785123967
70,BLASTp,1,1.5.98,0.9577464788732395
71,BLASTp,1,1.5.99,0.851063829787234
72,BLASTp,1,1.6.1,0.8823529411764706
73,BLASTp,1,1.6.2,0.9649122807017544
74,BLASTp,1,1.6.3,0.9411764705882353
