model,metric,train,test
DNN ESM2 3B,mPrecision,0.9801859116188866,0.9209649469469716
DNN ESM2 3B,mRecall,0.9873869025946788,0.8863249784707508
DNN ESM2 3B,mF1,0.9835153649254668,0.8993916356114343
DNN ESM2 3B,mPrecision level 1,0.9954901587269678,0.9842239776654332
DNN ESM2 3B,mRecall level 1,0.9966871789969458,0.9784144398426784
DNN ESM2 3B,mF1 level 1,0.9960861132569352,0.9813077466373094
DNN ESM2 3B,mPrecision level 2,0.9903582638985104,0.960007529255272
DNN ESM2 3B,mRecall level 2,0.9942749394626398,0.9409391701630098
DNN ESM2 3B,mF1 level 2,0.9922825805014802,0.949899229790492
DNN ESM2 3B,mPrecision level 3,0.9858791599870652,0.952762709571913
DNN ESM2 3B,mRecall level 3,0.9906263439102558,0.9203771729144024
DNN ESM2 3B,mF1 level 3,0.9881759801096168,0.9348219950029448
DNN ESM2 3B,mPrecision level 4,0.9792905725957004,0.9165845735418012
DNN ESM2 3B,mRecall level 4,0.9868412972726472,0.88116343035844
DNN ESM2 3B,mF1 level 4,0.9827685141602948,0.8942587580416274
DNN ProtBERT,mPrecision,0.9722174476745892,0.921363419832496
DNN ProtBERT,mRecall,0.9731673644253314,0.8731144409279941
DNN ProtBERT,mF1,0.9721996674348048,0.8920665060834831
DNN ProtBERT,mPrecision level 1,0.9915911432726372,0.9804044703171112
DNN ProtBERT,mRecall level 1,0.9897366317577048,0.9676160870265128
DNN ProtBERT,mF1 level 1,0.99066249398909,0.9739618531611496
DNN ProtBERT,mPrecision level 2,0.9837685472990678,0.9568492626670424
DNN ProtBERT,mRecall level 2,0.9820558516424058,0.9219997191496732
DNN ProtBERT,mF1 level 2,0.9828656070337296,0.9383770860881102
DNN ProtBERT,mPrecision level 3,0.9801167486258988,0.9503350368264296
DNN ProtBERT,mRecall level 3,0.9764024008391956,0.8985573901875752
DNN ProtBERT,mF1 level 3,0.9781048902620992,0.9218853529561152
DNN ProtBERT,mPrecision level 4,0.9710607973859964,0.9173710839919352
DNN ProtBERT,mRecall level 4,0.9725387698945092,0.8689314713409113
DNN ProtBERT,mF1 level 4,0.9712600181123484,0.8875905122411527
DNN ESM1b,mPrecision,0.9853145390233754,0.91773513936127
DNN ESM1b,mRecall,0.9927790435449042,0.8802042796503277
