,identity_level,tool1,tool2,p_value,corrected_p_value
0,90.0,BLASTp,DeepEC CNN3,0.0,0.0
1,90.0,BLASTp,D-SPACE EC,0.0,0.0
2,90.0,BLASTp,DNN ESM1b,1.0439836162381256e-224,1.5119762717931475e-224
3,90.0,BLASTp,DNN ESM2 3B,1.6128230358639837e-93,2.084263615578071e-93
4,90.0,BLASTp,DNN ProtBERT,2.1354945565213062e-237,3.2032418347819595e-237
5,90.0,BLASTp,Models + BLASTp,1.045407606922841e-27,1.1186527258792184e-27
6,90.0,BLASTp,Models ensemble,2.1567914044792925e-34,2.399608979818021e-34
7,90.0,DeepEC CNN3,D-SPACE EC,8.805248491705084e-127,1.1834253972851633e-126
8,90.0,DeepEC CNN3,DNN ESM1b,0.0,0.0
9,90.0,DeepEC CNN3,DNN ESM2 3B,0.0,0.0
10,90.0,DeepEC CNN3,DNN ProtBERT,0.0,0.0
11,90.0,DeepEC CNN3,Models + BLASTp,0.0,0.0
12,90.0,DeepEC CNN3,Models ensemble,0.0,0.0
13,90.0,D-SPACE EC,DNN ESM1b,0.0,0.0
14,90.0,D-SPACE EC,DNN ESM2 3B,0.0,0.0
15,90.0,D-SPACE EC,DNN ProtBERT,0.0,0.0
16,90.0,D-SPACE EC,Models + BLASTp,0.0,0.0
17,90.0,D-SPACE EC,Models ensemble,0.0,0.0
18,90.0,DNN ESM1b,DNN ESM2 3B,1.1747526478307925e-77,1.4301336582287909e-77
20,90.0,DNN ESM1b,Models + BLASTp,0.0,0.0
21,90.0,DNN ESM1b,Models ensemble,2.4308679489662768e-306,3.926786686791678e-306
22,90.0,DNN ESM2 3B,DNN ProtBERT,3.184148251387178e-85,3.933359604654749e-85
23,90.0,DNN ESM2 3B,Models + BLASTp,0.0,0.0
24,90.0,DNN ESM2 3B,Models ensemble,1.7081971002198672e-42,1.9655966632666965e-42
25,90.0,DNN ProtBERT,Models + BLASTp,0.0,0.0
26,90.0,DNN ProtBERT,Models ensemble,7.325332399845722e-305,1.1720531839753154e-304
27,90.0,Models + BLASTp,Models ensemble,0.0,0.0
28,80.0,BLASTp,DeepEC CNN3,0.0,0.0
29,80.0,BLASTp,D-SPACE EC,0.0,0.0
30,80.0,BLASTp,DNN ESM1b,8.963557722503513e-234,1.3209453485794652e-233
31,80.0,BLASTp,DNN ESM2 3B,5.761198406428066e-82,7.064827242919088e-82
32,80.0,BLASTp,DNN ProtBERT,1.2459251296318303e-279,1.92032497044172e-279
33,80.0,BLASTp,Models + BLASTp,2.0100904681917049e-28,2.164712811898759e-28
34,80.0,BLASTp,Models ensemble,7.26488455133472e-36,8.136670697494886e-36
35,80.0,DeepEC CNN3,D-SPACE EC,2.629614712346825e-97,3.424614509102842e-97
36,80.0,DeepEC CNN3,DNN ESM1b,0.0,0.0
37,80.0,DeepEC CNN3,DNN ESM2 3B,0.0,0.0
38,80.0,DeepEC CNN3,DNN ProtBERT,0.0,0.0
39,80.0,DeepEC CNN3,Models + BLASTp,0.0,0.0
40,80.0,DeepEC CNN3,Models ensemble,0.0,0.0
41,80.0,D-SPACE EC,DNN ESM1b,0.0,0.0
42,80.0,D-SPACE EC,DNN ESM2 3B,0.0,0.0
43,80.0,D-SPACE EC,DNN ProtBERT,0.0,0.0
44,80.0,D-SPACE EC,Models + BLASTp,0.0,0.0
45,80.0,D-SPACE EC,Models ensemble,0.0,0.0
46,80.0,DNN ESM1b,DNN ESM2 3B,9.60432444721746e-93,1.2316996237652925e-92
47,80.0,DNN ESM1b,DNN ProtBERT,2.0252742690204858e-12,2.0873992465978014e-12
48,80.0,DNN ESM1b,Models + BLASTp,0.0,0.0
49,80.0,DNN ESM1b,Models ensemble,9.816441220181317e-300,1.5558133254626993e-299
50,80.0,DNN ESM2 3B,DNN ProtBERT,2.110625903838654e-130,2.859557676168499e-130
51,80.0,DNN ESM2 3B,Models + BLASTp,0.0,0.0
52,80.0,DNN ESM2 3B,Models ensemble,7.326128862304942e-30,8.044376789981898e-30
53,80.0,DNN ProtBERT,Models + BLASTp,0.0,0.0
54,80.0,DNN ProtBERT,Models ensemble,0.0,0.0
55,80.0,Models + BLASTp,Models ensemble,0.0,0.0
56,70.0,BLASTp,DeepEC CNN3,0.0,0.0
57,70.0,BLASTp,D-SPACE EC,0.0,0.0
58,70.0,BLASTp,DNN ESM1b,3.953789009249423e-211,5.629123335202568e-211
59,70.0,BLASTp,DNN ESM2 3B,1.843292136644396e-57,2.1962629713209823e-57
60,70.0,BLASTp,DNN ProtBERT,2.8245093925107273e-274,4.3137961631072927e-274
61,70.0,BLASTp,Models + BLASTp,3.4054944983002856e-37,3.839752186003007e-37
62,70.0,BLASTp,Models ensemble,8.706740167441145e-32,9.623239132434949e-32
63,70.0,DeepEC CNN3,D-SPACE EC,1.7201194197443709e-53,2.020839598021359e-53
64,70.0,DeepEC CNN3,DNN ESM1b,0.0,0.0
65,70.0,DeepEC CNN3,DNN ESM2 3B,0.0,0.0
66,70.0,DeepEC CNN3,DNN ProtBERT,0.0,0.0
67,70.0,DeepEC CNN3,Models + BLASTp,0.0,0.0
68,70.0,DeepEC CNN3,Models ensemble,0.0,0.0
69,70.0,D-SPACE EC,DNN ESM1b,0.0,0.0
70,70.0,D-SPACE EC,DNN ESM2 3B,0.0,0.0
71,70.0,D-SPACE EC,DNN ProtBERT,0.0,0.0
72,70.0,D-SPACE EC,Models + BLASTp,0.0,0.0
73,70.0,D-SPACE EC,Models ensemble,0.0,0.0
74,70.0,DNN ESM1b,DNN ESM2 3B,1.2948823811985963e-99,1.6995331253231577e-99
75,70.0,DNN ESM1b,DNN ProtBERT,1.1106577859237076e-18,1.1735252077684458e-18
76,70.0,DNN ESM1b,Models + BLASTp,0.0,0.0
77,70.0,DNN ESM1b,Models ensemble,9.469202591263015e-296,1.4867533040487725e-295
78,70.0,DNN ESM2 3B,DNN ProtBERT,4.49385126983387e-160,6.137943197821872e-160
79,70.0,DNN ESM2 3B,Models + BLASTp,0.0,0.0
80,70.0,DNN ESM2 3B,Models ensemble,5.63193670066477e-16,5.913533535698009e-16
81,70.0,DNN ProtBERT,Models + BLASTp,0.0,0.0
82,70.0,DNN ProtBERT,Models ensemble,0.0,0.0
83,70.0,Models + BLASTp,Models ensemble,0.0,0.0
84,60.0,BLASTp,DeepEC CNN3,0.0,0.0
85,60.0,BLASTp,D-SPACE EC,0.0,0.0
86,60.0,BLASTp,DNN ESM1b,5.798478536221781e-189,8.050780116407102e-189
87,60.0,BLASTp,DNN ESM2 3B,3.875661471074156e-54,4.585289627749706e-54
88,60.0,BLASTp,DNN ProtBERT,1.129749845267024e-280,1.7573886481931484e-280
89,60.0,BLASTp,Models + BLASTp,1.4329300681394449e-41,1.637634363587937e-41
90,60.0,BLASTp,Models ensemble,1.6906210385571175e-29,1.8324150611457788e-29
91,60.0,DeepEC CNN3,D-SPACE EC,1.7462611355761676e-40,1.9822423701134876e-40
92,60.0,DeepEC CNN3,DNN ESM1b,0.0,0.0
93,60.0,DeepEC CNN3,DNN ESM2 3B,0.0,0.0
94,60.0,DeepEC CNN3,DNN ProtBERT,0.0,0.0
95,60.0,DeepEC CNN3,Models + BLASTp,0.0,0.0
96,60.0,DeepEC CNN3,Models ensemble,0.0,0.0
97,60.0,D-SPACE EC,DNN ESM1b,0.0,0.0
98,60.0,D-SPACE EC,DNN ESM2 3B,0.0,0.0
99,60.0,D-SPACE EC,DNN ProtBERT,0.0,0.0
100,60.0,D-SPACE EC,Models + BLASTp,0.0,0.0
101,60.0,D-SPACE EC,Models ensemble,0.0,0.0
102,60.0,DNN ESM1b,DNN ESM2 3B,1.6183849976019566e-88,2.0290199969934977e-88
103,60.0,DNN ESM1b,DNN ProtBERT,1.422724680036373e-29,1.552063287312407e-29
104,60.0,DNN ESM1b,Models + BLASTp,0.0,0.0
105,60.0,DNN ESM1b,Models ensemble,2.8273077637742454e-270,4.279168507333993e-270
106,60.0,DNN ESM2 3B,DNN ProtBERT,4.427704131851297e-175,6.097166345500148e-175
107,60.0,DNN ESM2 3B,Models + BLASTp,0.0,0.0
108,60.0,DNN ESM2 3B,Models ensemble,8.130638612376544e-16,8.484144639001611e-16
109,60.0,DNN ProtBERT,Models + BLASTp,0.0,0.0
110,60.0,DNN ProtBERT,Models ensemble,0.0,0.0
111,60.0,Models + BLASTp,Models ensemble,0.0,0.0
112,50.0,BLASTp,DeepEC CNN3,0.0,0.0
113,50.0,BLASTp,D-SPACE EC,0.0,0.0
114,50.0,BLASTp,DNN ESM1b,2.3031288167232706e-205,3.224380343412579e-205
115,50.0,BLASTp,DNN ESM2 3B,4.904573185282749e-63,5.885487822339299e-63
116,50.0,BLASTp,DNN ProtBERT,0.0,0.0
117,50.0,BLASTp,Models + BLASTp,4.5402517877930585e-25,4.827609495881227e-25
118,50.0,BLASTp,Models ensemble,1.0486974825412755e-49,1.2234803962981549e-49
119,50.0,DeepEC CNN3,D-SPACE EC,4.1333993176568945e-13,4.2864881812738167e-13
120,50.0,DeepEC CNN3,DNN ESM1b,0.0,0.0
121,50.0,DeepEC CNN3,DNN ESM2 3B,0.0,0.0
122,50.0,DeepEC CNN3,DNN ProtBERT,0.0,0.0
123,50.0,DeepEC CNN3,Models + BLASTp,0.0,0.0
124,50.0,DeepEC CNN3,Models ensemble,0.0,0.0
125,50.0,D-SPACE EC,DNN ESM1b,0.0,0.0
126,50.0,D-SPACE EC,DNN ESM2 3B,0.0,0.0
127,50.0,D-SPACE EC,DNN ProtBERT,0.0,0.0
128,50.0,D-SPACE EC,Models + BLASTp,0.0,0.0
129,50.0,D-SPACE EC,Models ensemble,0.0,0.0
130,50.0,DNN ESM1b,DNN ESM2 3B,2.188098453646755e-92,2.7848525773685974e-92
131,50.0,DNN ESM1b,DNN ProtBERT,4.1852110662793825e-47,4.849072131965078e-47
132,50.0,DNN ESM1b,Models + BLASTp,0.0,0.0
133,50.0,DNN ESM1b,Models ensemble,3.4892953012975915e-225,5.097405309721699e-225
134,50.0,DNN ESM2 3B,DNN ProtBERT,4.287633836342357e-210,6.053130121895092e-210
135,50.0,DNN ESM2 3B,Models + BLASTp,0.0,0.0
136,50.0,DNN ESM2 3B,Models ensemble,0.0008734282239939941,0.0008893087371575213
137,50.0,DNN ProtBERT,Models + BLASTp,0.0,0.0
138,50.0,DNN ProtBERT,Models ensemble,0.0,0.0
139,50.0,Models + BLASTp,Models ensemble,0.0,0.0
140,40.0,BLASTp,DeepEC CNN3,0.0,0.0
141,40.0,BLASTp,D-SPACE EC,0.0,0.0
142,40.0,BLASTp,DNN ESM1b,1.1128722023768342e-222,1.5979703418744288e-222
143,40.0,BLASTp,DNN ESM2 3B,1.2799068387954177e-89,1.6167244279521067e-89
144,40.0,BLASTp,DNN ProtBERT,0.0,0.0
146,40.0,BLASTp,Models ensemble,1.867965379914694e-105,2.4710093214619573e-105
147,40.0,DeepEC CNN3,D-SPACE EC,5.650665167605236e-11,5.7884862692541445e-11
148,40.0,DeepEC CNN3,DNN ESM1b,0.0,0.0
149,40.0,DeepEC CNN3,DNN ESM2 3B,0.0,0.0
150,40.0,DeepEC CNN3,DNN ProtBERT,0.0,0.0
151,40.0,DeepEC CNN3,Models + BLASTp,0.0,0.0
152,40.0,DeepEC CNN3,Models ensemble,0.0,0.0
153,40.0,D-SPACE EC,DNN ESM1b,0.0,0.0
154,40.0,D-SPACE EC,DNN ESM2 3B,0.0,0.0
155,40.0,D-SPACE EC,DNN ProtBERT,0.0,0.0
156,40.0,D-SPACE EC,Models + BLASTp,0.0,0.0
157,40.0,D-SPACE EC,Models ensemble,0.0,0.0
158,40.0,DNN ESM1b,DNN ESM2 3B,1.4592802108840155e-70,1.7637343556008248e-70
159,40.0,DNN ESM1b,DNN ProtBERT,2.4471771350916316e-86,3.0453759903362524e-86
160,40.0,DNN ESM1b,Models + BLASTp,0.0,0.0
161,40.0,DNN ESM1b,Models ensemble,2.2509387313786434e-118,3.0012516418381914e-118
162,40.0,DNN ESM2 3B,DNN ProtBERT,2.9353055117727425e-237,4.3639940352019533e-237
163,40.0,DNN ESM2 3B,Models + BLASTp,0.0,0.0
165,40.0,DNN ProtBERT,Models + BLASTp,0.0,0.0
166,40.0,DNN ProtBERT,Models ensemble,0.0,0.0
167,40.0,Models + BLASTp,Models ensemble,0.0,0.0
